customer_id,customer_billing_city,customer_billing_state,customer_billing_zip,customer_billing_country,customer_since,customer_purchases,customer_area_code,customer_email_from,customer_email_ext,customer_is_business,customer_total_value
4198,Duncannon,PA,17020,USA,9/3/2012,1,717,embarqmail.com,com,0,23.18
883,Lawrenceville,GA,30044,US,10/24/2009,0,678,personal domain,com,0,0
1578,Lexington,KY,40515,US,3/16/2010,1,859,yahoo.com,com,1,0
3934,East Peoria,IL,61611,USA,4/12/2012,1,309,personal domain,net,0,37.7
3946,Columbus,OH,43235,USA,4/17/2012,1,614,aol.com,com,1,54.3
1250,West Carrollton,OH,45449,US,1/25/2010,0,937,personal domain,com,0,0
2160,Festus,MO,63028,USA,7/7/2010,1,760,hotmail.com,com,0,25.3
3938,Blacksburg,VA,24060,USA,4/12/2012,1,540,gmail.com,com,0,19.09
3911,Tampa,FL,33624,USA,4/1/2012,1,813,tampabay.rr.com,com,0,158.36
1813,Marshall,IL,62441,US,4/26/2010,0,217,hotmail.com,com,0,0
327,Camarillo,CA,93010-2112,US,5/18/2009,2,805,verizon.net,net,0,0
3016,San Rafael,CA,94901,USA,3/31/2011,1,415,personal domain,com,0,94.89
3230,Rochester,NY,14624,USA,5/23/2011,1,585,gmail.com,com,0,54.88
1439,Chino Valley,ARIZONA,86323,US,2/26/2010,1,928,hotmail.com,com,0,15.63
489,Bethlehem,PA,18018,US,7/9/2009,0,,msn.com,com,0,0
500,Fort Collins,CO,80525,US,7/14/2009,3,970,aol.com,com,0,87.55
931,Fort Worth,TX,76244,US,11/4/2009,1,817,yahoo.com,com,1,0
4131,Winnemucca,NV,89446,USA,7/31/2012,1,775,personal domain, ,0,139.58
797,Lineville,AL,36266,US,10/4/2009,0,256,centurytel.net,net,0,0
1676,Lakeland,FL,33811,US,3/29/2010,0,863,live.com,com,0,0
1190,Beaver Dams,NEW YORK,14812-9771,US,1/10/2010,0,607,aol.com,com,0,0
1821,Camp Hill,PA,17011,US,4/27/2010,0,,yahoo.com,com,0,0
4784,South Barrington,IL,60010,USA,2/7/2015,1, ,comcast.net,net,0,16.15
2762,American Fork,UT,84003,USA,2/1/2011,0,801,personal domain,net,1,0
3429,Battle Lake,MN,56515,USA,8/8/2011,1,218,personal domain,net,0,93.28
1793,Westerville,OH,43081,US,4/22/2010,1,614,yahoo.com,com,0,15.09
1411,Richmond,CA.,94803,US,2/23/2010,1,650,hotmail.com,com,0,26.28
4728,Elizabethton,TN,37643,USA,7/30/2014,2,423,personal domain,com,1,96.75
1236,Savannah,GA,31410,US,1/22/2010,1,334,mac.com,com,0,20.84
2787,Crestview,FL,32539,USA,2/8/2011,1,850,gmail.com,com,0,38.82
4041,Hurley,SD,57036,USA,6/1/2012,1,605,gmail.com,com,0,58.5
662,Cottonwood,ID,83522,US,9/1/2009,1,208,personal domain,com,1,0
3428,Lincoln Park,MI,48146,USA,8/5/2011,1,560,aol.com,com,0,51.4
4941,Battle Lake,MN,56515,USA,4/7/2017,1,218,personal domain,net,0,36.62
4800,Henry,IL,61537,USA,3/21/2015,1, ,gmail.com,com,0,53.86
1919,Lubbock,TX,79423,US,5/13/2010,1,806,personal domain,com,1,29.64
3326,Trinidad,CO,81082,USA,6/23/2011,1,719,msn.com,com,0,49.36
2172,Kingfisher,OK,73750, ,7/9/2010,0,405,yahoo.com,com,1,0
4836,danville,PA,17821,USA,5/7/2015,1,570,ptd.net,net,0,29.62
1099,Lagrange,KY,40031,US,12/13/2009,1,502,insightbb.com,com,0,24.44
222,Hanover,PA,17331,US,3/24/2009,2,,embarqmail.com,com,1,0
4473,Dublin,OH,43016,USA,5/16/2013,1,302,hotmail.com,com,0,24.73
2309,Brighton,IL,62012,USA,8/16/2010,1,618,personal domain, ,0,18.88
4887,Philadelphia,PA,19130,USA,12/14/2015,1, ,gmail.com,com,0,57.54
348,Williamsport,PA,17701,US,5/21/2009,3,570,verizon.net,net,1,33.16
1839,Chillicothe,IL,61523,US,5/1/2010,1,309,yahoo.com,com,0,18.76
2047,Taylors,SOUTH CAROLINA,29687,US,6/10/2010,1,864,personal domain,com,0,35.39
4692,Emporia,KS,66801,USA,4/25/2014,1,620,gmail.com,com,0,101.49
2724,Granbury,TX,76049,USA,1/20/2011,1, ,aol.com,com,0,32.38
1025,York Springs,PA,17372,US,11/29/2009,1,717,comcast.net,net,0,21.08
3587,Rockwall,TX,75087,USA,10/11/2011,1,972,sbcglobal.net,net,0,35.13
666,Mtn View,MO,65548,US,9/1/2009,0,417,centurytel.net,net,1,0
2768,Sarasota,FL,34233,USA,2/3/2011,1, ,personal domain,com,0,54.14
1948,Goetzville,MI,49736,US,5/17/2010,0,906,personal domain,edu,0,0
4340,Denton,MD,21629,USA,12/13/2012,0,410,comcast.net,net,1,0
4341,Great Falls,MT,59405,USA,12/17/2012,2,406,personal domain,net,0,105.54
